id	title	year	image	lane	connections
69	Chapter 22	2019.03	https://i0.wp.com/geekade.com/wp-content/uploads/2019/07/S3-E3-Title-Card.png	Earth-17040	68
70	Chapter 23	2019.04	https://i0.wp.com/geekade.com/wp-content/uploads/2019/07/S3-E4-Title-Card.png	Earth-17040	69
71	Chapter 24	2019.05	https://i0.wp.com/geekade.com/wp-content/uploads/2019/07/S3-E5-Title-Card.png	Earth-17040	70
72	Chapter 25	2019.06	https://i0.wp.com/geekade.com/wp-content/uploads/2019/08/S3-E6-Title-Card.png	Earth-17040	71
73	Chapter 26	2019.07	https://i0.wp.com/geekade.com/wp-content/uploads/2019/08/S3-E7-Title-Card.png	Earth-17040	72
74	Chapter 27	2019.08	https://i0.wp.com/geekade.com/wp-content/uploads/2019/08/S3-E8-Title-Card.png	Earth-17040	73,48
75	Multiverse of Madness	2022	https://upload.wikimedia.org/wikipedia/en/1/17/Doctor_Strange_in_the_Multiverse_of_Madness_poster.jpg	Earth-199999	
76	The Marvels	2023.7	https://upload.wikimedia.org/wikipedia/en/7/7a/The_Marvels_poster.jpg	Earth-199999	44,77
77	Home	2023.6	./assets/images/199999/Home.webp	Earth-199999	75
78	Hulk	2003	https://upload.wikimedia.org/wikipedia/en/5/59/Hulk_movie.jpg	Earth-400083	
79	Iron Man	2008	https://upload.wikimedia.org/wikipedia/en/0/02/Iron_Man_%282008_film%29_poster.jpg	Earth-199999	
80	The Incredible Hulk	2008.1	https://upload.wikimedia.org/wikipedia/en/f/f0/The_Incredible_Hulk_%28film%29_poster.jpg	Earth-199999	78,79
81	Iron Man 2	2010		Earth-199999	80
